,企業名,ティッカー,stock_diff,年度,株価の変化率,負債,end_date+60日の株価,企業価値,end_dateの日の株価,有利子負債/総資産比率,有形固定資産,キャッシュ時価総額比率,純資産,クラスタリング
227,"ユナイテッド＆コレクティブ株式会社",3557.0,-6.480881399870382,2019.0,5,9,7,4,6,9,9.0,8,5,9
228,"ユナイテッド＆コレクティブ株式会社",3557.0,22.13793103448276,2019.0,9,9,7,4,7,9,10.0,9,5,9
229,"ユナイテッド＆コレクティブ株式会社",3557.0,-44.55110107284021,2019.0,1,9,8,5,7,9,10.0,7,5,2
230,"ユナイテッド＆コレクティブ株式会社",3557.0,4.684317718940937,2019.0,7,9,5,3,6,9,9.0,10,5,9
231,"ユナイテッド＆コレクティブ株式会社",3557.0,1.5779092702169626,2020.0,7,9,5,3,6,10,9.0,10,3,9
232,"ユナイテッド＆コレクティブ株式会社",3557.0,24.383020730503453,2020.0,9,9,5,3,5,10,9.0,10,2,9
233,"ユナイテッド＆コレクティブ株式会社",3557.0,-2.142857142857143,2020.0,6,9,6,4,6,10,9.0,10,1,9
234,"ユナイテッド＆コレクティブ株式会社",3557.0,-1.370967741935484,2020.0,6,9,6,4,6,10,9.0,10,1,9
235,"株式会社レントラックス",6045.0,-6.771463119709795,2018.0,5,7,4,4,6,6,1.0,9,6,6
236,"株式会社レントラックス",6045.0,-32.560834298957126,2018.0,1,6,5,4,3,7,1.0,9,6,6
237,"株式会社レントラックス",6045.0,-15.084745762711863,2018.0,3,7,3,2,3,7,1.0,10,6,6
